STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR;LUFTTEMPERATUR_MINIMUM;WINDSTAERKE;BEDECKUNGSGRAD; SONNENSCHEINDAUER; NIEDERSCHLAGSHOEHE; max(LUFTTEMPERATUR_MAXIMUM);min(LUFTTEMPERATUR_MINIMUM);max(WINDSPITZE_MAXIMUM); max(NIEDERSCHLAGSHOEHE);eor
  1691;19470101;19470131;   5;   1;   -1.7;  -4.4;   -7.6;    2.10;  5.04;  -999;    18.3;   9.6; -18.80;  -999;    4.1;eor
  1691;19470201;19470228;   5;   1;   -4.8;  -8.6;  -13.2;    2.00;  6.16;  -999;    30.9;   3.6; -23.00;  -999;    6.6;eor
  1691;19470301;19470331;   5;   1;    7.3;   2.8;   -1.6;    2.20;  6.32;  76.2;    51.3;  18.8; -19.50;  -999;    7.1;eor
  1691;19470401;19470430;   5;   1;   15.4;   9.5;    4.0;    2.10;  5.12; 178.0;    41.4;  23.8;  -1.40;  -999;    9.1;eor
  1691;19470501;19470531;   5;   1;   20.4;  14.6;    7.4;    1.80;  4.88; 227.5;    35.3;  29.5;  -0.20;  -999;   19.1;eor
  1691;19470601;19470630;   5;   1;   23.9;  17.5;   10.3;    1.90;  4.80; 272.4;    73.8;  33.7;   2.00;  -999;   16.7;eor
  1691;19470701;19470731;   5;   1;   25.3;  18.4;   10.8;    1.70;  3.92; 278.5;    73.1;  33.7;   6.00;  -999;   60.5;eor
  1691;19470801;19470831;   5;   1;   25.9;  18.3;    9.4;    1.20;  3.52; 308.6;    11.4;  33.9;   2.40;  -999;    5.9;eor
  1691;19470901;19470930;   5;   1;   24.0;  16.2;    9.3;    1.30;  4.00; 190.7;    21.9;  33.5;   3.50;  -999;    8.5;eor
  1691;19471001;19471031;   5;   1;   14.6;   7.1;    0.6;    1.30;  3.92; 183.5;    16.1;  24.0;  -6.00;  -999;    6.4;eor
  1691;19471101;19471130;   5;   1;    8.2;   5.7;    3.0;    2.10;  7.12;  20.8;    82.5;  14.9;  -8.00;  -999;   17.9;eor
  1691;19471201;19471231;   5;   1;    4.3;   2.1;   -0.6;    1.90;  7.12;  26.7;   112.5;  11.1; -14.50;  -999;   28.0;eor
  1691;19480101;19480131;   5;   1;    6.5;   4.0;    1.3;    2.40;  7.12;  36.4;    93.4;  12.8;  -4.70;  -999;   26.7;eor
  1691;19480201;19480229;   5;   1;    3.9;   0.2;   -3.2;    2.40;  6.00;  80.6;    58.2;  10.6; -19.00;  -999;   10.2;eor
  1691;19480301;19480331;   5;   1;   11.4;   5.7;    1.2;    1.90;  4.72; 153.9;    10.8;  19.6;  -4.20;  -999;    4.2;eor
  1691;19480401;19480430;   5;   1;   16.1;  10.5;    4.3;    2.30;  4.32; 208.5;    47.9;  25.3;  -2.00;  -999;   14.6;eor
