recordist,date,time,location,longitude,latitude,elevation,climate
Daniel Lane,2011-02-24,05:55,"10 km S Pocone on Transpantaneira, Mato Grosso",-56.648,-16.362000000000002,115,tropical
Daniel Lane,2011-02-24,06:05,"10 km S Pocone on Transpantaneira, Mato Grosso",-56.648,-16.362000000000002,115,tropical
Eric DeFonso,2011-09-03,18:00,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Eric DeFonso,2011-09-04,06:00,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Eric DeFonso,2011-09-04,06:05,"Pantanal Wildlife Center, MT",-56.8764,-16.7581,110,tropical
Eric DeFonso,2011-09-23,07:30,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
GABRIEL LEITE,2010-05-01,08:30,"Lagoa da Confusão, Tocantins",-49.8559,-10.7342,180,tropical
Jeremy Minns,2001-01-22,07:05,"Maraú, BA",-39.0501,-14.1334,50,tropical
Jeremy Minns,2002-09-26,17:30,Anavilhanas Archipelago,-60.7501,-2.6834,21,tropical
Jeremy Minns,2002-09-27,15:00,"Rio Caurés, AM",-62.2167,-1.2667,21,tropical
Jeremy Minns,2002-09-27,15:50,"Rio Caurés, AM",-62.2167,-1.2667,21,tropical
Jeremy Minns,2003-04-04,17:33,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
David Beadle,2002-02-04,12:00,"Serra dos Carajás, Pará",-50.3459,-6.1603,400,tropical
Eduardo Patrial,2008-08-10,am,"Serra dos Carajás, PA",-50.3459,-6.1603,160,tropical
Eric DeFonso,2011-09-12,08:47,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Eric DeFonso,2011-09-21,07:57,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,260,tropical
Frank Lambert,2004-04-28,?:?,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,240,tropical
GABRIEL LEITE,2012-12-06,08:00,"Itaituba, Para",-57.1069,-5.6215,90,tropical
GABRIEL LEITE,2013-09-26,09:30,"Trairão, Para",-56.0715,-5.3316,110,tropical
Jeremy Minns,1998-12-21,17:05,"São Gabriel da Cachoeira, Amazonas",-67.0834,-0.1334,70,tropical
Jeremy Minns,2000-11-30,10:04,"Serra do Navio, AP",-52.0559,0.8926,125,tropical
Jeremy Minns,2003-04-06,08:14,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
Jeremy Minns,2003-04-06,08:43,"Cristalino Jungle Lodge, MT",-55.931999999999995,-9.5981,250,tropical
